created_at,default_profile,default_profile_image,description,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_image_url,profile_image_url,screen_name,statuses_count,verified,tweet_ids,account_type
Sat Oct 01 13:11:28 +0000 2016,True,False,"Chiese Culture\\Food\\Chicago\\Wriing\\ Livig, Loving, Laughing. Don't wanna be anyone but me. :)",66,0,0,False,782206295650820096,en,,,http://pbs.twimg.com/profile_images/880348211612860416/KMym8vRs_normal.jpg,Saritamassol26P,120,False,782206295650820096,human
Tue Apr 02 04:14:01 +0000 2013,True,False,,1746,315,501,False,1321719476,en,Johnsonville SC,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/828754526484230144/VxlN3CPG_normal.jpg,lynchhayden,2527,False,1321719476,bot
Sun Sep 04 00:02:20 +0000 2016,True,False,"am all about my friends and family. am a humble dude, but dont pushm. all inall am me.",109,0,0,False,772223231105400834,en,,,http://pbs.twimg.com/profile_images/772224796247678976/fXod3Hnk_normal.jpg,FelicePower,290,False,772223231105400834,human
Tue Jun 05 23:44:51 +0000 2012,True,False,,2348,10,17,False,600596859,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/837955778166259712/-zfGokf3_normal.jpg,SareyanEliza,3251,False,600596859,bot
Thu Mar 01 14:42:09 +0000 2012,True,False,,1167,20,35,False,510339821,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/805640031264194560/Ld0UWZ7h_normal.jpg,amartin6991,1703,False,510339821,bot
Tue Sep 22 15:18:16 +0000 2009,False,False,23 años.. y la mejor palabra que me describe es MAMÁ,2144,61,0,False,76358531,en,Mikaela,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/578399890084143104/oOM_84d6_normal.jpeg,stephanie8544,3381,False,76358531,bot
Mon Dec 26 03:45:47 +0000 2011,False,False,l,9397,403,142,True,446752401,en,,http://abs.twimg.com/images/themes/theme14/bg.gif,http://pbs.twimg.com/profile_images/843158545398939651/cwm-adEh_normal.jpg,jfont101,12250,False,446752401,bot
Tue Mar 01 14:39:25 +0000 2016,False,False,Tu nikogo nie ma,9249,815,458,False,704677425515511809,pl,Polska,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/704767153120133121/exQOmNg__normal.jpg,1koma44,17605,False,704677425515511809,human
Mon Dec 12 07:11:09 +0000 2016,True,False,北海道の北寄りの大地で農家やってます、夏は農家、冬はバイトしたり旅行したり遊びに行ったりしてます。気軽に絡んでくれると喜びます(^_^),461,15,25,False,808207543973482496,ja,日本 北海道,,http://pbs.twimg.com/profile_images/849993300031426560/QAiEw6Hh_normal.jpg,takuya6186751,998,False,808207543973482496,human
Thu Mar 13 16:34:38 +0000 2014,True,False,"Aeronautical Engineer,aerodynamicsist,funny,friendly",378,14,0,True,2387393154,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/444160037762506754/zxSvRcyg_normal.jpeg,aero_chandru,493,False,2387393154,bot
Sun Feb 01 22:32:54 +0000 2015,True,False,ugly Casanova,8882,137,122,False,3011155588,en,"Buffalo, NY",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1104278306634022912/jHth7Vnd_normal.jpg,JConnellyIV,4217,False,3011155588,human
Mon Nov 03 16:21:31 +0000 2014,False,False,jeez,21025,217,229,False,2859092602,en,"Frederick, MD",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1062918564502478849/YJc87a4R_normal.jpg,d_furfari,7771,False,2859092602,human
Fri Feb 04 11:10:26 +0000 2011,True,True,,533,41,485,False,247232285,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Nebissh,801,False,247232285,bot
Sun Sep 04 16:31:53 +0000 2016,True,False,"Gw baru toba, jang diajak maksiat!!!",44,0,0,False,772472261391577089,en,,,http://pbs.twimg.com/profile_images/772473455837143040/Q9H1Axc9_normal.jpg,annalisanygaar2,125,False,772472261391577089,human
Fri Oct 01 02:54:56 +0000 2010,False,False,"Sociólogo, Club de Montaña de Valparaíso @monvalvalpo / @Revista_ElTopo",24,301,643,False,197285693,es,,http://abs.twimg.com/images/themes/theme18/bg.gif,http://pbs.twimg.com/profile_images/736758154395045889/iny9dFU4_normal.jpg,felixgonc,443,False,197285693,human
Tue Apr 19 18:21:26 +0000 2011,True,False,,1537,2,20,False,284659391,en,"Boise, Idaho",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/3207423239/4f4e2099d97c5c2a031b9d7345809f87_normal.jpeg,pbrown208,2211,False,284659391,bot
Mon Aug 26 01:38:52 +0000 2013,False,False,GIG EM AGGS 👍🏽. NURSING MAJOR. SPORTS LOVER,3256,97,268,False,1700664565,en,,http://abs.twimg.com/images/themes/theme18/bg.gif,http://pbs.twimg.com/profile_images/1128704083358035969/6eTnvJuY_normal.jpg,PrincesaSelena9,4363,False,1700664565,bot
Tue Mar 20 07:29:25 +0000 2012,False,False,,1032,41,161,False,531088596,tr,eskişehir,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/2218586086/2_normal.jpg,sadriyerlikaya,1473,False,531088596,bot
Fri Sep 26 04:58:42 +0000 2014,False,False,real hasta la muerte #LongLiveAdam #RIPNATE,20559,1706,814,True,2832548774,en,"Long Beach, CA",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1128914223289864192/EASrGpbi_normal.jpg,nineantt,53012,False,2832548774,human
Mon Jul 04 22:39:33 +0000 2011,False,False,,2213,198,62,True,329342669,en,United States,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/867073104127852545/-RjFSCaI_normal.jpg,LiddoBeast,9879,False,329342669,human
Tue Mar 27 20:09:49 +0000 2012,False,False,to practice patience is to practice peace.,2873,45,0,False,538533072,en,,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/640711152855588864/bWsM0Epd_normal.jpg,TheCatLadyxo,4921,False,538533072,bot
Wed Jan 27 15:29:14 +0000 2010,False,False,simple and enjoying life,819,185,368,False,108970306,en,,http://abs.twimg.com/images/themes/theme6/bg.gif,http://pbs.twimg.com/profile_images/1087708647231127554/HBQ8cC1J_normal.jpg,papakezia,1655,False,108970306,human
Sun Aug 28 08:00:51 +0000 2011,True,False,,1348,2,46,True,363545753,zh-cn,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/585268852637896704/FYFEboAY_normal.jpg,Regina_Tsui,2010,False,363545753,bot
Mon Aug 07 21:06:33 +0000 2017,True,False,,338,0,0,False,894666092710383618,en,,,http://pbs.twimg.com/profile_images/894671080908103681/dwgiGPG__normal.jpg,lienmccoy2285,665,False,894666092710383618,human
Wed Feb 15 01:19:00 +0000 2017,True,False,,1197,9,22,False,831674135789047808,en,"Wichita, KS",,http://pbs.twimg.com/profile_images/831677138155794432/QHiIMhCG_normal.jpg,ctruskett,1683,False,831674135789047808,bot
Sat Oct 29 16:25:27 +0000 2016,True,False,,1022,0,0,False,792401974620622848,en,,,http://pbs.twimg.com/profile_images/897661698407936001/cs2O06Cl_normal.jpg,Noimage112,985,False,792401974620622848,bot
Mon Apr 13 21:11:35 +0000 2009,False,False,,1,73,0,False,30961613,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/531076946/mixups-sticker_normal.gif,themixups,412,False,30961613,human
Tue Nov 08 07:58:49 +0000 2011,False,False,"Person, Wife, Step-Mom, Auntie, Sister, Friend, Reader, Writer, Dreamer, Poet, Cook, Theater Baby, Dog Lover, Insomniac, Voice.",1255,18,79,False,407579561,en,New England,http://abs.twimg.com/images/themes/theme19/bg.gif,http://pbs.twimg.com/profile_images/963134356125466624/8W3SKW1s_normal.jpg,MySmallHouse,1217,False,407579561,bot
Fri Feb 05 12:15:44 +0000 2010,True,False,,1312,13,0,False,111576906,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/378800000730300084/f00c37b6f7e3e23ed8dc4d65a2cab389_normal.jpeg,Patches328,1933,False,111576906,human
Fri Sep 13 13:45:22 +0000 2013,True,False,"I work as an Engineer by day, Guitarist by night!",2114,91,372,False,1860689335,en,Dunbartonshire,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/790135145483370496/S6tM_IgW_normal.jpg,david_upward,3096,False,1860689335,bot
Mon Jun 06 02:28:55 +0000 2016,False,False,,5977,137,110,True,739645214491451395,en,"Lowell, MA",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1044611822605750272/4TmOD7rw_normal.jpg,pethables,4197,False,739645214491451395,human
Fri Dec 03 18:04:58 +0000 2010,False,False,my first word was mayonnaise,4871,216,1363,True,222533765,en,"Colonia, NJ",http://abs.twimg.com/images/themes/theme18/bg.gif,http://pbs.twimg.com/profile_images/786649303381049344/HlEdyme2_normal.jpg,sloverM,8861,False,222533765,human
Mon Mar 14 01:54:14 +0000 2011,False,False,LEGEND IN THE MAKING. #ROSEMOB 🌹🇨🇱| #ROYALTY 👑 | #NAWFSIDE | SOUNDCLOUD: @hini_13 🗣,11216,848,1187,True,265723826,en,90TR3Y,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1121205900096745472/JtGPIBf9_normal.jpg,13_hini,15291,False,265723826,human
Sun Jul 08 16:24:06 +0000 2012,False,False,ion,2478,44,637,False,630337519,en,,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/757983945048940544/NrQQhqiL_normal.jpg,ruler_ofcrombie,2912,False,630337519,bot
Fri Mar 17 23:14:28 +0000 2017,True,False,ألهلال كاية لتنتهي,18,0,0,False,842876819141513216,en,,,http://pbs.twimg.com/profile_images/878279918781472769/240tEb6v_normal.jpg,MaximaKraemer,156,False,842876819141513216,human
Tue May 08 17:41:07 +0000 2012,False,False,#chubzilladabigmackilla,2624,109,134,False,574657774,en,las vegas,http://abs.twimg.com/images/themes/theme19/bg.gif,http://pbs.twimg.com/profile_images/580924458610774016/JeAKcnaQ_normal.jpg,chubzacosta43,4634,False,574657774,bot
Sat Mar 18 07:26:02 +0000 2017,False,False,"Mec bi pour sex-friend bi, plan cul, 'n'hésitez pas à me contacter 😉",325,129,480,False,843000526015008768,fr,"Isère, Rhône-Alpes",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/865784344027299840/UyU301Qe_normal.jpg,bobi_38,701,False,843000526015008768,human
Sun Dec 02 21:29:35 +0000 2012,False,False,"Gina. Viet, Chinese, French, & Italian. Languages spoken: Sarcasm & profanity. Still in search of myself.",2243,22,10,True,985416680,en,Eastcoast - NJ,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/844483192589635588/hv5JinHe_normal.jpg,gtdeezy,3334,False,985416680,bot
Fri Aug 01 05:12:39 +0000 2014,False,False,,1339,15,153,False,2697396931,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/495082330931740672/nHOasn4D_normal.jpeg,DogmomEs,1675,False,2697396931,bot
Fri Jul 29 18:56:32 +0000 2016,False,False,The testosterone fueled random topic podcast for everyone. Jan 2017,1371,28,79,False,759100312321916929,en,"Pennsylvania, USA",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/759132442041131008/tKtKOqI2_normal.jpg,717UNFILTERED,1868,False,759100312321916929,bot
Wed Mar 24 03:56:59 +0000 2010,True,False,,1165,13,0,False,125873781,en,"SC,NO,SD",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/771715076/tj_normal.jpg,nosaint10,1841,False,125873781,human
Sun Sep 04 20:09:54 +0000 2016,True,False,The methodiclly thought out comination of music and business. lso bringing you the Microfestival.,82,0,0,False,772527125417062402,en,,,http://pbs.twimg.com/profile_images/772528249893183492/B61M1fNw_normal.jpg,Medina_Fighter,142,False,772527125417062402,human
Thu Sep 09 15:42:33 +0000 2010,False,False,http://t.co/swcVXW25Ey,536,359,272,True,188781380,it,Latina,http://abs.twimg.com/images/themes/theme15/bg.png,http://pbs.twimg.com/profile_images/907282548203692032/qk1q60GG_normal.jpg,MexMarvel,4429,False,188781380,human
Thu Jan 26 04:15:35 +0000 2012,False,False,,1893,6,0,False,474583138,es,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1781849749/341034_2592896938824_1146663874_32504804_2101381290_o_normal.jpg,AleBonillaA,2629,False,474583138,bot
Wed Jan 30 02:03:53 +0000 2013,True,False,"Father of 3, Christian, Conservative, part time gun dealer and Razorback fanatic",4302,244,904,True,1132658952,en,"Lake Dallas, TX",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/3181948971/19eb8f81f240dc07e67d65959eae2d85_normal.jpeg,nowifebill,10016,False,1132658952,human
Thu Sep 03 16:17:59 +0000 2015,True,False,⚡️,14820,225,92,False,3438571754,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1125618172965482496/kc8jfs19_normal.jpg,alex16_martinez,1505,False,3438571754,human
Mon May 04 20:30:09 +0000 2009,False,False,Ehh!,2960,337,228,True,37751238,en,,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/457010148587089920/tIqpOI_X_normal.jpeg,chaddaddy_,13242,False,37751238,human
Mon Nov 07 23:19:30 +0000 2016,True,False,Weekly log abut he Bulk Candy Vending Business.,118,1,0,False,795767664207687681,en,,,http://pbs.twimg.com/profile_images/795769724797743105/dLCUw1mq_normal.jpg,jody_schotz,211,False,795767664207687681,human
Sat Jul 30 02:39:33 +0000 2011,True,False,,1022,18,77,False,345113775,tr,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/491881380863680512/tUyfeALf_normal.jpeg,erdalbl60571,1501,False,345113775,bot
Sat Mar 11 20:32:49 +0000 2017,True,False,Having good laughs one Uber drive at a time,930,19,8,False,840661810571300867,en,"New Jersey, USA",,http://pbs.twimg.com/profile_images/841034013288648704/B0ylg2VG_normal.jpg,uberfunphilly,1376,False,840661810571300867,bot
Mon Jul 13 02:44:50 +0000 2009,False,False,"Changing the world by changing lives. HOW do we do it? We make people look and feel their best, and confident people change the world.",2663,349,94,True,56265313,en,"Orlando, FL 407-425-0333",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/982252083725266944/GSeL7SSR_normal.jpg,urbanbarber,5966,False,56265313,bot
Mon Jul 03 00:47:47 +0000 2017,True,False,TamFollowBack TeamAutollow ColeWord Winning SWAG,129,0,0,False,881675804396187648,en,,,http://pbs.twimg.com/profile_images/881678833832919045/LZKdhAjp_normal.jpg,yolande19779512,157,False,881675804396187648,human
Sun Jan 24 07:05:57 +0000 2010,False,False,hmmmmmmmmmm,6549,151,725,True,107934683,en,"Victoria, Australia",http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1288669255/funky_jaxie_normal.jpg,jaxiegurl,6064,False,107934683,bot
Tue Feb 21 06:49:49 +0000 2017,True,False,Leo🦁 | sc: peeweenugget |,26662,176,290,True,833931713998942209,en,Living Lavish,,http://pbs.twimg.com/profile_images/1110392793636241409/I15L6fjT_normal.jpg,ShermGerm2017,10277,False,833931713998942209,human
Sun Apr 12 01:46:04 +0000 2009,False,False,LOOKIN TO BE A SUCCESSFUL SINGER 1 DAY SO BE ON THE LOOK OUT AND IF ANYONE IS LOOKIN FOR A VOICE HIT ME ON THE INBOX,15,22,0,True,30574352,en,"Sunny California L,A",http://abs.twimg.com/images/themes/theme11/bg.gif,http://pbs.twimg.com/profile_images/1476769753/kimmie_normal.jpg,K3K32HOTT19,179,False,30574352,human
Fri Apr 29 18:16:09 +0000 2016,True,False,"Artist/Blogger


mgmt/features: fs3productions@gmail.com

#HeatNation #blerd",1107,17,93,False,726112851040067584,en,"Atlanta, GA",,http://pbs.twimg.com/profile_images/751179283989540864/MAr54h1D_normal.jpg,Booda_Whoda,1518,False,726112851040067584,bot
Tue Dec 27 14:22:06 +0000 2011,False,False,,360,988,381,True,448009084,en,IE,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1127091001183522816/bbyV1MPt_normal.jpg,222CASS,6431,False,448009084,human
Thu Dec 10 02:23:48 +0000 2009,True,False,,550,8,15,False,95801115,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/569106194/14333_780907627839_14826475_44903896_3318948_n_normal.jpg,jasonmessamer,838,False,95801115,bot
